#,CITY NAME,POPULATION
1,Quezon City,"2,761,720"
2,Manila,"1,600,000"
3,Caloocan City,"1,500,000"
4,Budta,"1,273,715"
5,Davao,"1,212,504"
6,Malingao,"1,121,974"
7,Cebu City,"798,634"
8,General Santos,"679,588"
9,Taguig,"644,473"
10,Pasig City,"617,301"
11,Las Pinas,"590,000"
12,Antipolo,"549,543"
13,Makati City,"510,383"
14,Zamboanga,"457,623"
15,Bacolod City,"454,898"
16,Mansilingan,"454,150"
17,Cagayan de Oro,"445,103"
18,Dasmarinas,"441,876"
19,Pasay,"416,522"
20,Iloilo,"387,681"
21,San Jose del Monte,"357,828"
22,Bacoor,"356,974"
23,Lapu-Lapu City,"350,467"
24,Iligan,"342,618"
25,Mandaue City,"331,320"
26,Calamba,"316,612"
27,Iligan City,"312,323"
28,Butuan,"309,709"
29,Cabuyao,"308,745"
30,Mandaluyong City,"305,576"
31,Binan,"300,000"
32,Angeles City,"299,391"
33,Santol,"298,976"
34,Cainta,"283,172"
35,Baguio,"272,714"
36,San Pedro,"270,216"
37,Mantampay,"265,032"
38,San Fernando,"251,248"
39,Libertad,"250,353"
40,Navotas,"249,463"
41,Tacloban,"242,089"
42,Batangas,"237,370"
43,Magugpo Poblacion,"233,254"
44,Taytay,"231,460"
45,Lucena,"228,758"
46,Puerto Princesa,"222,673"
47,Olongapo,"221,178"
48,Cabanatuan City,"220,250"
49,Binangonan,"219,204"
50,Santa Rosa,"216,650"
51,Imus,"216,099"
52,Lipa City,"212,287"
53,San Pablo,"207,577"
54,Malolos,"198,748"
55,Ormoc,"191,200"
56,Panalanoy,"189,090"
57,Mabalacat City,"188,050"
58,Pagadian,"186,852"
59,Meycauayan,"184,839"
60,Tarlac City,"183,930"
61,Legaspi,"179,481"
62,Cotabato,"179,433"
63,Naga,"174,931"
64,Dagupan,"171,271"
65,Toledo,"156,916"
66,Guyong,"155,391"
67,Bago City,"150,250"
68,Marawi City,"143,627"
69,Kabankalan,"136,483"
70,Baliuag,"135,679"
