SKU,Product Name,Price,Active,Quantity
SKU-8901-STUV,TwilightTranquil Relaxation Tea,38.5,Yes,15
SKU-2345-WXYZ,RainforestRush Natural Shower Gel,21.99,Yes,20
SKU-6789-ABCD,RadiantGrove Botanical Facial Mask,9.95,Yes,16
SKU-0123-EFGH,SereneSilk Luxury Silk Pillowcase,33.75,Yes,17
SKU-4567-IJKL,DawnDew Morning Energy Drink,17.5,Yes,23
SKU-8901-MNOP,SunsetSerenade Calming Room Spray,25.6,Yes,11
SKU-2345-QRST,MidnightMingle Gourmet Coffee Blend,11.8,No,9
SKU-6789-UVWX,BlossomBreeze Floral Room Diffuser,31.25,No,8
SKU-0123-YZAB,HarmonyHaven Meditation Cushion,22.45,No,4
SKU-7892-XYZA,ArcticBreeze Cooling Gel Pillow,8.75,Yes,8
SKU-4563-PQRS,CascadeCrisp Mountain Spring Water,14.99,Yes,17
SKU-2387-LMNO,EmberGlow Firewood Kindling,29.99,Yes,5
SKU-9045-IJKL,ForestFern Botanical Body Wash,21.99,Yes,12
SKU-6231-UVWX,GoldenHarvest Honey Roasted Nuts,22.45,Yes,3
SKU-1278-EFGH,HorizonHaven Oceanfront Retreat Candle,5.99,Yes,19
SKU-5436-QRST,LuminousLagoon Bioluminescent Body Lotion,27.5,Yes,14
SKU-8901-ABCD,MistyMeadow Morning Dew Facial Toner,8.75,Yes,6
SKU-3654-WXYZ,OrchidOpulence Velvet Hair Scrunchie,19.95,Yes,10
SKU-2190-MNOP,PacificPearl Seashell Jewelry Box,35.2,Yes,2
SKU-7458-BCDE,RadiantReverie Moonstone Facial Roller,14.99,Yes,16
SKU-3019-FGHI,SapphireSky Nighttime Relaxation Tea,42.8,Yes,7
SKU-8542-KLMN,SolsticeSpritz Citrus Room Spray,6.5,No,11
SKU-6210-OPQR,SparklingShore Ocean Breeze Air Freshener,29.99,Yes,4
SKU-4376-STUV,SunburstSizzle Chili Lime Hot Sauce,16.75,Yes,18
SKU-9821-BCDF,TranquilTerrace Zen Garden Kit,10.25,Yes,8
SKU-5430-GHIJ,TwilightTrance Lavender Sleep Spray,38.5,Yes,5
SKU-1976-KLMN,WhisperingWillow Bamboo Bath Mat,21.99,Yes,6
SKU-8536-EFGH,ZenithZephyr Himalayan Salt Body Scrub,9.95,Yes,18
SKU-2065-IJKL,ZephyrZest Organic Lemon Verbena Soap,33.75,Yes,19
